lon,lat,depth
-130.291648,30.664297,0.0
-129.77396,-38.242072,0.0
-129.48657,14.132816,0.0
-129.474388,-37.72647,0.0
-129.247233,-37.725963,0.0
-129.163586,13.189732,0.0
-129.141936,13.243158,0.0
-129.121538,13.228709,0.0
-129.11971,13.268897,0.0
-129.074006,-37.678735,0.0
-129.042766,13.229517999999997,0.0
-129.03214400000002,13.116582,0.0
-128.856338,13.058434,0.0
-128.854121,13.099063,0.0
-128.814013,-37.409768,0.0
-128.779692,-36.866721,0.0
-128.776589,-37.552579,0.0
-128.721938,-37.367755,0.0
-128.682014,28.93166,2.2435457142857143
-128.453917,28.258806,0.0
-128.24986,13.875125,0.0
-127.77535900000001,-37.399127,0.0
-127.698699,-37.342124,0.0
-127.654765,-37.250675,0.0
-127.622004,14.644545,0.0
-127.55438000000001,-36.252009,0.0
-127.518635,28.041712,0.0
-127.386404,27.623919,0.0
-127.384739,-36.253502,0.0
-127.21297200000001,28.196123,9.39707857142857
-126.392424,28.1898,0.0
-126.304471,14.092101,0.0
-126.06594100000001,-36.007318999999995,0.0
-126.043676,-35.627424999999995,0.0
-125.99248800000001,28.333794,0.0
-125.94713300000001,28.304953,0.0
-125.882307,28.283,0.0
-125.867205,28.254046,0.0
-125.455676,-34.757166,0.0
-125.360089,14.499934999999997,0.0
-124.97895700000001,26.643239,0.0
-124.939836,26.552525,0.0
-124.887446,27.833866,0.0
-124.82213899999999,26.634194,0.0
-124.745346,26.825989,0.0
-124.61142799999999,27.533193,4.756819
-124.584225,-34.496449,0.0
-124.51336,-34.422846,0.0
-124.49413,28.08204,0.0
-124.27817,14.617604,0.0
-124.16554099999999,28.034636,0.0
-124.15200899999999,26.877617,2.7128437142857145
-124.139194,26.793262,0.0
-124.13307,26.840696,0.0
-124.127129,26.803765,0.0
-124.125781,26.817176,0.0
-124.117479,26.840695,0.0
-124.113399,26.733467,0.0
-124.101624,26.874671,3.9124344285714288
-124.081122,26.879169,0.0
-124.080979,26.90854,0.0
-124.03230099999999,26.824531,0.0
-124.015771,-34.482146,0.0
-124.00171,26.934833,0.0
-123.98916,26.923062,0.0
-123.968524,26.888264,0.0
-123.949105,26.871612,0.0
-123.938267,26.900145,0.0
-123.928489,26.965518,0.0
-123.91881599999999,27.350288,0.0
-123.909692,26.863581,0.0
-123.89714599999999,26.942691,0.0
-123.88148799999999,26.953586,0.0
-123.709465,-33.826416,0.0
-123.650356,26.773265,0.0
-123.642116,14.268789000000003,0.0
-123.48899399999999,14.330433,0.0
-123.434895,27.948481,0.0
-123.43377699999999,13.741785,0.0
-123.426263,15.033918,0.0
-123.33639500000001,28.950789,5.364933714285714
-123.308509,27.567527,0.0
-123.252036,30.970739,0.0
-123.243094,27.630091,0.0
-123.212822,28.271161,0.0
-123.171885,30.664733,0.0
-123.035301,-32.211103,0.0
-123.014913,28.446955,3.451964
-122.93247199999999,10.420691,0.0
-122.922301,-32.686581,0.0
-122.865963,30.932217,0.0
-122.80359200000001,13.630222,0.0
-122.78115199999999,-33.570606,0.0
-122.759634,-31.919595,0.0
-122.753341,28.13737,0.0
-122.721867,28.181924,0.0
-122.70692700000001,10.040344,0.0
-122.589452,12.499646,0.0
-122.440974,13.158817,0.0
-122.34798,28.199737,5.818846428571428
-122.100732,9.4881588,0.0
-122.092366,9.5830729,0.0
-122.031244,12.051334,0.0
-122.02172999999999,9.7420433,0.0
-121.96550500000001,12.161869,0.0
-121.88537099999999,-31.570392,0.0
-121.75971799999999,12.700774,0.0
-121.669851,-31.632838,0.0
-121.61671,28.983187,0.0
-121.57469,8.724280399999998,0.0
-121.2448,35.508744,0.0
-120.83958200000001,8.0376205,0.0
-120.824426,7.9675455,0.0
-120.824045,8.0790758,0.0
-120.782056,-30.946285,0.0
-120.59279699999999,-30.907852,0.0
-120.52992499999999,26.070373,0.0
-120.503035,25.962114,0.0
-120.491157,25.966712,0.0
-120.438344,-30.658509,0.0
-120.131416,16.940703,0.0
-120.11165299999999,16.796312,0.0
-120.104491,16.717222,0.0
-119.712875,6.4577977,0.0
-119.55854099999999,-30.447346,0.0
-119.47019800000001,6.1802367,0.0
-119.232513,-30.435762,0.0
-119.230919,-30.49934,0.0
-118.806162,-29.590996,0.0
-118.772065,5.6591055,0.0
-118.759331,5.5829738,0.0
-118.74921599999999,5.6095382,0.0
-118.745168,5.6873391,0.0
-118.71753,-29.100494,0.0
-118.711297,5.5170957,0.0
-118.706244,5.4199749,0.0
-118.687779,5.8564675,0.0
-118.68224599999999,5.7531491,0.0
-118.658387,5.7534981,0.0
-118.62430599999999,5.5976199,0.0
-118.607383,5.7355306,0.0
-118.59975,5.4714188,0.0
-118.47434100000001,-28.924111,0.0
-117.80619999999999,4.9129193,0.0
-117.781395,4.9926363,0.0
-117.752072,21.550436,0.0
-117.715198,-27.071497,0.0
-117.468605,-28.267272,0.0
-117.44564500000001,-28.474639,0.0
-117.291777,-28.294807,0.0
-117.045083,-28.151138,0.0
-116.94393,-28.322972,0.0
-116.93345099999999,3.769485,0.0
-116.858014,-28.056664,0.0
-116.842156,-28.211588,0.0
-116.78309300000001,-28.183244,0.0
-116.455814,3.8091941,0.0
-116.44300100000001,-28.002797,0.0
-115.799774,3.818229,0.0
-115.73157,27.601853,0.0
-115.686335,-28.38341,0.0
-115.65405200000001,3.8119002,0.0
-115.600464,23.199792,0.0
-115.443878,23.390813,0.0
-115.178028,-19.292178,0.0
-114.959649,-27.910839,0.0
-114.889206,2.8306104,0.0
-114.817137,-19.076173,0.0
-114.584287,-18.638529,0.0
-114.552553,2.9684866,0.0
-114.544977,-18.553846,0.0
-114.521846,24.27037,0.0
-114.51352,3.1149383,0.0
-114.503592,-17.770666,0.0
-114.488003,27.043083,0.0
-114.48069000000001,-18.60606,0.0
-114.479777,-17.880793,0.0
-114.458753,-18.599665,0.0
-114.457648,-11.93549,0.0
-114.440676,3.1183645,0.0
-114.439184,-18.628535,0.0
-114.428104,3.005765,0.0
-114.34553700000001,3.2140805,0.0
-114.273984,-18.664381,0.0
-114.241539,-20.376485,0.0
-114.196484,-15.362181,0.0
-114.01899,26.48897,6.380130285714286
-113.862474,-14.341741,0.0
-113.850181,-13.181857,0.0
-113.838772,-14.510074999999997,0.0
-113.838498,-13.741263,0.0
-113.822962,-10.286843,0.0
-113.797993,-20.158045,0.0
-113.790963,-19.989296,0.0
-113.75319999999999,-20.099563,0.0
-113.70876200000001,-10.381839,0.0
-113.702038,26.774541,0.0
-113.695205,-10.282107,0.0
-113.69254600000001,28.38882,0.0
-113.67434800000001,27.090758,0.0
-113.67087500000001,43.108725,0.0
-113.653987,-12.709796,0.0
-113.642424,-20.212995,0.0
-113.64108300000001,-27.425296,0.0
-113.633787,2.5567596,0.0
-113.609987,-11.481722,0.0
-113.58222500000001,-12.733518,0.0
-113.57754800000001,-10.029039,0.0
-113.563985,-11.235387,0.0
-113.541258,-18.861193,0.0
-113.525064,-26.331247,0.0
-113.502807,-17.277776,0.0
-113.496082,-9.6713251,0.0
-113.495937,-11.467151,0.0
-113.47851200000001,-20.087551,0.0
-113.466688,-18.467239,0.0
-113.46624700000001,-20.073195,0.0
-113.434161,27.640837,0.0
-113.412004,-11.4178,0.0
-113.35077,-10.784808000000002,0.0
